epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4955.6,0.21724,0.28227,0.18579,0.84985,0.99293,0.25258,0.27132,0.26844,0.99293,0.25258,0.28955,0.27558,0.17477,0.53745,0.15378,0.77513,0.0005546,0.0005546,0.0005546
75,5061.47,0.21603,0.279,0.18428,0.8545,1,0.25252,0.26987,0.26633,0.99985,0.25195,0.2872,0.27387,0.17717,0.56241,0.15591,0.77506,0.0005348,0.0005348,0.0005348
76,5168.94,0.21371,0.26726,0.1791,0.85187,0.99984,0.25195,0.27024,0.26692,0.99984,0.25195,0.28542,0.2723,0.17504,0.58101,0.15252,0.77967,0.000515,0.000515,0.000515
77,5275.35,0.21225,0.27463,0.17661,0.85,0.99194,0.25255,0.26962,0.26662,0.99954,0.25195,0.2858,0.27267,0.17379,0.58766,0.15053,0.77193,0.0004952,0.0004952,0.0004952
78,5382.93,0.20867,0.27323,0.17562,0.85303,0.99984,0.25195,0.27325,0.27039,0.99984,0.25195,0.28883,0.2766,0.16903,0.45321,0.14923,0.77261,0.0004754,0.0004754,0.0004754
79,5492.56,0.21054,0.27337,0.17454,0.84726,0.99952,0.25195,0.27116,0.26809,0.99952,0.25195,0.28711,0.2735,0.16576,0.50228,0.14549,0.7733,0.0004556,0.0004556,0.0004556
80,5602.19,0.21042,0.27189,0.17434,0.84739,0.99985,0.25195,0.27191,0.26866,0.99985,0.25195,0.28818,0.27443,0.16676,0.57221,0.146,0.77453,0.0004358,0.0004358,0.0004358
81,5714.37,0.20479,0.26349,0.17456,0.84628,0.99984,0.25195,0.27194,0.26841,0.99984,0.25195,0.28899,0.27519,0.17631,0.62014,0.15199,0.7755,0.000416,0.000416,0.000416
82,5828.29,0.20551,0.27932,0.17069,0.84662,0.9975,0.25195,0.27315,0.26954,0.9975,0.25195,0.28932,0.27501,0.16988,0.57774,0.14652,0.77434,0.0003962,0.0003962,0.0003962
83,5938.78,0.20669,0.26951,0.17173,0.84868,0.99979,0.25195,0.27045,0.26717,0.99979,0.25195,0.28875,0.27494,0.16735,0.56238,0.14468,0.77399,0.0003764,0.0003764,0.0003764
84,6045.85,0.2069,0.27006,0.16781,0.84465,0.99983,0.25195,0.26955,0.26661,0.99983,0.25195,0.28675,0.27281,0.16809,0.5871,0.14308,0.77406,0.0003566,0.0003566,0.0003566
85,6155.15,0.19996,0.25858,0.16465,0.8443,0.99982,0.25195,0.27062,0.26758,0.99982,0.25195,0.28888,0.27505,0.16594,0.56345,0.14266,0.77288,0.0003368,0.0003368,0.0003368
86,6264.04,0.20623,0.2717,0.16766,0.84754,0.99982,0.25195,0.26954,0.26534,0.99982,0.25195,0.2871,0.27198,0.16345,0.54993,0.1428,0.77408,0.000317,0.000317,0.000317
87,6377.71,0.19778,0.26334,0.1637,0.84296,0.9998,0.25195,0.27156,0.26838,0.9998,0.25195,0.29057,0.27548,0.1643,0.58767,0.13955,0.77302,0.0002972,0.0002972,0.0002972
88,6486.13,0.20237,0.27102,0.16582,0.84715,0.99985,0.25195,0.26891,0.26587,0.99985,0.25195,0.28554,0.27177,0.16781,0.57311,0.14165,0.77292,0.0002774,0.0002774,0.0002774
89,6590.98,0.20434,0.2688,0.16498,0.85001,0.99983,0.25195,0.26991,0.26658,0.99983,0.25195,0.28888,0.27363,0.16837,0.59395,0.14241,0.77234,0.0002576,0.0002576,0.0002576
90,6698.13,0.19753,0.26061,0.15882,0.84725,0.99983,0.25195,0.27146,0.26758,0.99983,0.25195,0.28879,0.27379,0.16518,0.60438,0.14489,0.77201,0.0002378,0.0002378,0.0002378
91,6803.99,0.17988,0.28486,0.1624,0.80185,1,0.25253,0.27037,0.26724,1,0.25253,0.28821,0.2726,0.16562,0.64106,0.14114,0.77305,0.000218,0.000218,0.000218
92,6906.99,0.17589,0.27057,0.15454,0.80333,0.99986,0.25195,0.27373,0.27048,0.99986,0.25195,0.29304,0.27959,0.16527,0.61949,0.1382,0.7706,0.0001982,0.0001982,0.0001982
93,7014.1,0.17775,0.28083,0.15931,0.80376,0.99527,0.25248,0.27254,0.26901,0.99527,0.25248,0.29157,0.27654,0.16736,0.60798,0.14413,0.772,0.0001784,0.0001784,0.0001784
94,7129.17,0.17831,0.28094,0.15771,0.8058,1,0.25253,0.27282,0.2689,1,0.25253,0.29117,0.27505,0.16629,0.64314,0.13903,0.77029,0.0001586,0.0001586,0.0001586
95,7245.7,0.17449,0.27752,0.15553,0.80335,0.99737,0.25255,0.27365,0.26986,0.99737,0.25255,0.29138,0.27529,0.16347,0.66718,0.13846,0.76801,0.0001388,0.0001388,0.0001388
96,7361.4,0.16909,0.26898,0.15231,0.79672,1,0.25252,0.27394,0.26969,1,0.25252,0.29075,0.27567,0.16319,0.60157,0.13818,0.76841,0.000119,0.000119,0.000119
97,7473.34,0.17175,0.2833,0.15188,0.80417,0.99642,0.25255,0.27482,0.27082,0.99642,0.25255,0.29334,0.27773,0.16311,0.63687,0.13834,0.76733,9.92e-05,9.92e-05,9.92e-05
98,7586.92,0.16587,0.27233,0.14635,0.79514,0.99984,0.25195,0.27512,0.27157,0.99984,0.25195,0.29324,0.27821,0.162,0.59219,0.13604,0.76669,7.94e-05,7.94e-05,7.94e-05
99,7699.5,0.16298,0.26792,0.14536,0.79499,0.99504,0.25255,0.27501,0.27117,0.99504,0.25255,0.29314,0.27752,0.16182,0.60552,0.13577,0.76615,5.96e-05,5.96e-05,5.96e-05
100,7811.73,0.16332,0.26503,0.14534,0.79743,0.99509,0.25255,0.27451,0.2711,0.99509,0.25255,0.29193,0.27706,0.16101,0.63223,0.13571,0.7664,3.98e-05,3.98e-05,3.98e-05
